type,timestamp_ms,dist_m,anchor_addr,anchor_x,anchor_y,anchor_z,quality,rssi_dbm,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,confidence,pos_valid,imu_enable
IMU,5289,,,,,,,,-0.0096,-0.0549,9.7546,0.0003,-0.0005,-0.0008,0.00,,,,,,,,,
IMU,5299,,,,,,,,-0.0048,-0.0569,9.7531,0.0003,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,5309,,,,,,,,-0.0075,-0.0603,9.7449,-0.0003,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,5319,,,,,,,,-0.0153,-0.0630,9.7399,-0.0005,-0.0008,-0.0016,0.00,,,,,,,,,
IMU,5329,,,,,,,,-0.0162,-0.0578,9.7437,0.0008,-0.0013,-0.0003,0.00,,,,,,,,,
IMU,5339,,,,,,,,-0.0156,-0.0546,9.7519,0.0005,-0.0008,-0.0005,0.00,,,,,,,,,
IMU,5349,,,,,,,,-0.0199,-0.0560,9.7593,0.0000,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,5359,,,,,,,,-0.0183,-0.0612,9.7587,-0.0005,-0.0005,-0.0019,0.00,,,,,,,,,
IMU,5369,,,,,,,,-0.0150,-0.0602,9.7554,-0.0005,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,5379,,,,,,,,-0.0157,-0.0627,9.7566,-0.0003,-0.0016,-0.0013,0.00,,,,,,,,,
IMU,5389,,,,,,,,-0.0120,-0.0578,9.7590,0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,5399,,,,,,,,-0.0115,-0.0603,9.7606,0.0003,-0.0005,-0.0016,0.00,,,,,,,,,
IMU,5409,,,,,,,,-0.0130,-0.0642,9.7468,-0.0005,-0.0008,-0.0005,0.00,,,,,,,,,
IMU,5419,,,,,,,,-0.0028,-0.0621,9.7384,-0.0003,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,5429,,,,,,,,-0.0061,-0.0599,9.7417,-0.0003,-0.0013,-0.0011,0.00,,,,,,,,,
IMU,5439,,,,,,,,-0.0096,-0.0606,9.7390,-0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,5449,,,,,,,,-0.0094,-0.0618,9.7353,-0.0005,-0.0013,-0.0021,0.00,,,,,,,,,
IMU,5460,,,,,,,,-0.0195,-0.0627,9.7404,-0.0003,-0.0008,-0.0024,0.00,,,,,,,,,
IMU,5470,,,,,,,,-0.0189,-0.0617,9.7458,-0.0003,-0.0008,-0.0016,0.00,,,,,,,,,
IMU,5480,,,,,,,,-0.0130,-0.0590,9.7531,0.0000,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,5490,,,,,,,,-0.0133,-0.0623,9.7608,0.0005,-0.0011,-0.0013,0.00,,,,,,,,,
IMU,5500,,,,,,,,-0.0075,-0.0608,9.7643,0.0005,-0.0019,-0.0008,0.00,,,,,,,,,
IMU,5510,,,,,,,,-0.0037,-0.0614,9.7560,0.0005,-0.0011,-0.0008,0.00,,,,,,,,,
IMU,5520,,,,,,,,-0.0054,-0.0657,9.7522,-0.0003,-0.0003,-0.0013,0.00,,,,,,,,,
IMU,5530,,,,,,,,-0.0093,-0.0573,9.7536,0.0000,-0.0003,-0.0011,0.00,,,,,,,,,
IMU,5540,,,,,,,,-0.0096,-0.0563,9.7542,0.0003,-0.0008,-0.0005,0.00,,,,,,,,,
IMU,5550,,,,,,,,-0.0022,-0.0609,9.7518,0.0003,-0.0011,-0.0013,0.00,,,,,,,,,
IMU,5560,,,,,,,,-0.0022,-0.0614,9.7440,0.0000,-0.0013,-0.0011,0.00,,,,,,,,,
IMU,5570,,,,,,,,-0.0061,-0.0663,9.7449,0.0000,-0.0011,-0.0008,0.00,,,,,,,,,
IMU,5580,,,,,,,,-0.0079,-0.0633,9.7417,-0.0003,-0.0011,-0.0005,0.00,,,,,,,,,
IMU,5590,,,,,,,,-0.0136,-0.0593,9.7422,-0.0003,-0.0013,-0.0005,0.00,,,,,,,,,
IMU,5600,,,,,,,,-0.0102,-0.0632,9.7470,-0.0003,-0.0016,-0.0003,0.00,,,,,,,,,
IMU,5610,,,,,,,,-0.0138,-0.0636,9.7503,-0.0003,-0.0008,0.0000,0.00,,,,,,,,,
IMU,5620,,,,,,,,-0.0081,-0.0584,9.7513,-0.0003,-0.0005,0.0000,0.00,,,,,,,,,
IMU,5630,,,,,,,,-0.0141,-0.0620,9.7540,0.0000,0.0000,-0.0005,0.00,,,,,,,,,
IMU,5640,,,,,,,,-0.0126,-0.0626,9.7548,0.0000,-0.0008,-0.0016,0.00,,,,,,,,,
IMU,5650,,,,,,,,-0.0132,-0.0630,9.7510,0.0000,-0.0005,-0.0011,0.00,,,,,,,,,
IMU,5660,,,,,,,,-0.0165,-0.0564,9.7524,0.0000,-0.0008,-0.0008,0.00,,,,,,,,,
IMU,5670,,,,,,,,-0.0160,-0.0581,9.7525,-0.0003,-0.0008,-0.0008,0.00,,,,,,,,,
IMU,5680,,,,,,,,-0.0129,-0.0659,9.7477,0.0005,-0.0008,0.0000,0.00,,,,,,,,,
IMU,5690,,,,,,,,-0.0084,-0.0668,9.7513,-0.0000,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,5700,,,,,,,,-0.0054,-0.0534,9.7591,-0.0003,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,5710,,,,,,,,-0.0046,-0.0515,9.7618,0.0005,-0.0008,-0.0016,0.00,,,,,,,,,
IMU,5721,,,,,,,,-0.0082,-0.0582,9.7495,0.0005,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,5730,,,,,,,,-0.0085,-0.0665,9.7491,0.0005,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,5741,,,,,,,,-0.0123,-0.0680,9.7521,0.0005,0.0000,-0.0013,0.00,,,,,,,,,
IMU,5751,,,,,,,,-0.0102,-0.0635,9.7489,0.0003,-0.0005,-0.0008,0.00,,,,,,,,,
IMU,5761,,,,,,,,-0.0096,-0.0602,9.7383,-0.0003,-0.0005,-0.0011,0.00,,,,,,,,,
IMU,5771,,,,,,,,-0.0063,-0.0579,9.7380,-0.0005,-0.0005,-0.0013,0.00,,,,,,,,,
IMU,5781,,,,,,,,-0.0087,-0.0587,9.7398,0.0000,-0.0008,-0.0021,0.00,,,,,,,,,
IMU,5791,,,,,,,,-0.0091,-0.0629,9.7417,0.0005,-0.0013,-0.0013,0.00,,,,,,,,,
IMU,5801,,,,,,,,-0.0078,-0.0579,9.7534,-0.0003,-0.0013,-0.0013,0.00,,,,,,,,,
IMU,5811,,,,,,,,-0.0081,-0.0611,9.7519,-0.0008,-0.0008,-0.0019,0.00,,,,,,,,,
IMU,5821,,,,,,,,-0.0124,-0.0611,9.7494,-0.0003,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,5831,,,,,,,,-0.0111,-0.0632,9.7527,0.0003,-0.0016,-0.0019,0.00,,,,,,,,,
IMU,5841,,,,,,,,-0.0126,-0.0632,9.7584,0.0003,-0.0011,-0.0005,0.00,,,,,,,,,
IMU,5851,,,,,,,,-0.0103,-0.0588,9.7614,0.0000,-0.0013,-0.0005,0.00,,,,,,,,,
IMU,5861,,,,,,,,-0.0120,-0.0608,9.7509,-0.0003,-0.0011,-0.0005,0.00,,,,,,,,,
IMU,5871,,,,,,,,-0.0069,-0.0650,9.7468,-0.0005,-0.0005,-0.0003,0.00,,,,,,,,,
IMU,5881,,,,,,,,-0.0069,-0.0593,9.7515,-0.0011,-0.0003,-0.0013,0.00,,,,,,,,,
IMU,5891,,,,,,,,-0.0133,-0.0611,9.7524,-0.0005,-0.0008,-0.0016,0.00,,,,,,,,,
IMU,5901,,,,,,,,-0.0144,-0.0578,9.7482,-0.0005,-0.0005,-0.0021,0.00,,,,,,,,,
IMU,5911,,,,,,,,-0.0121,-0.0579,9.7543,-0.0003,-0.0005,-0.0013,0.00,,,,,,,,,
IMU,5921,,,,,,,,-0.0084,-0.0606,9.7489,0.0000,-0.0003,-0.0013,0.00,,,,,,,,,
IMU,5931,,,,,,,,-0.0028,-0.0627,9.7446,0.0003,-0.0016,-0.0008,0.00,,,,,,,,,
IMU,5941,,,,,,,,-0.0103,-0.0696,9.7480,0.0005,-0.0016,-0.0008,0.00,,,,,,,,,
IMU,5951,,,,,,,,-0.0156,-0.0680,9.7482,0.0005,-0.0011,-0.0005,0.00,,,,,,,,,
IMU,5961,,,,,,,,-0.0154,-0.0563,9.7447,0.0008,-0.0008,-0.0008,0.00,,,,,,,,,
IMU,5971,,,,,,,,-0.0106,-0.0500,9.7455,0.0000,-0.0005,-0.0013,0.00,,,,,,,,,
IMU,5981,,,,,,,,-0.0102,-0.0569,9.7516,-0.0005,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,5991,,,,,,,,-0.0148,-0.0624,9.7495,0.0000,-0.0003,-0.0013,0.00,,,,,,,,,
IMU,6002,,,,,,,,-0.0156,-0.0665,9.7513,0.0000,0.0000,-0.0011,0.00,,,,,,,,,
IMU,6012,,,,,,,,-0.0151,-0.0587,9.7557,0.0000,-0.0008,-0.0011,0.00,,,,,,,,,
IMU,6022,,,,,,,,-0.0082,-0.0537,9.7575,0.0003,-0.0011,-0.0013,0.00,,,,,,,,,
IMU,6032,,,,,,,,-0.0057,-0.0632,9.7524,0.0005,-0.0005,-0.0013,24.81,,,,,,,,,
IMU,6042,,,,,,,,-0.0099,-0.0733,9.7461,0.0003,-0.0005,-0.0008,24.81,,,,,,,,,
IMU,6052,,,,,,,,-0.0111,-0.0627,9.7476,0.0005,-0.0008,-0.0008,24.81,,,,,,,,,
IMU,6062,,,,,,,,-0.0096,-0.0560,9.7510,0.0000,-0.0008,-0.0008,24.81,,,,,,,,,
IMU,6072,,,,,,,,-0.0079,-0.0536,9.7477,0.0000,0.0000,0.0000,24.81,,,,,,,,,
IMU,6082,,,,,,,,-0.0069,-0.0557,9.7486,-0.0003,-0.0003,-0.0005,24.81,,,,,,,,,
IMU,6092,,,,,,,,-0.0147,-0.0545,9.7497,0.0000,-0.0005,-0.0013,24.81,,,,,,,,,
IMU,6102,,,,,,,,-0.0070,-0.0599,9.7479,0.0000,-0.0005,-0.0003,24.81,,,,,,,,,
IMU,6112,,,,,,,,-0.0096,-0.0590,9.7485,-0.0003,-0.0005,0.0000,24.81,,,,,,,,,
IMU,6122,,,,,,,,-0.0109,-0.0596,9.7500,0.0000,-0.0011,-0.0008,24.81,,,,,,,,,
IMU,6132,,,,,,,,-0.0090,-0.0591,9.7405,0.0005,-0.0011,-0.0003,24.81,,,,,,,,,
